x_desired,y_desired,z_desired,x_actual,y_actual,z_actual
-2.30526,3.54859,2.19999,-1.92707,3.38926,2.08232
-2.36674,3.5703,2.20506,-1.97268,3.42784,2.08291
-2.42823,3.59201,2.21013,-2.02205,3.46075,2.08363
-2.48971,3.61371,2.2152,-2.08409,3.49285,2.08461
-2.5512,3.63542,2.22028,-2.1408,3.51577,2.08566
-2.61268,3.65712,2.22535,-2.20039,3.53498,2.08727
-2.67417,3.67883,2.23042,-2.26255,3.55117,2.0895
-2.73565,3.70053,2.2355,-2.32684,3.5652,2.09269
-2.79714,3.72224,2.24057,-2.39128,3.58245,2.09649
-2.85862,3.74394,2.24564,-2.4673,3.60368,2.10168
-2.92011,3.76565,2.25072,-2.53347,3.62116,2.10651
-2.98159,3.78736,2.25579,-2.60004,3.63849,2.11191
-3.04308,3.80906,2.26086,-2.6777,3.65897,2.11898
-3.10456,3.83077,2.26593,-2.74397,3.67687,2.12532
-3.16605,3.85247,2.27101,-2.80948,3.69504,2.13186
-3.22753,3.87418,2.27608,-2.88485,3.71658,2.1398
-3.28902,3.89588,2.28115,-2.94117,3.7279,2.14552
-3.3505,3.91759,2.28623,-3.00828,3.741,2.15259
-3.41199,3.93929,2.2913,-3.08493,3.75753,2.16125
-3.47347,3.961,2.29637,-3.13887,3.77027,2.16781
-3.53496,3.98271,2.30145,-3.21315,3.78941,2.17729
-3.59644,4.00441,2.30652,-3.27603,3.80722,2.18577
-3.65793,4.02612,2.31159,-3.34864,3.82984,2.19624
-3.71941,4.04782,2.31666,-3.41014,3.85068,2.20531
-3.7809,4.06953,2.32174,-3.48503,3.87113,2.21557
-3.84238,4.09123,2.32681,-3.54939,3.88855,2.2241
-3.90387,4.11294,2.33188,-3.61256,3.90738,2.23234
-3.96535,4.13464,2.33696,-3.66426,3.92398,2.23895
-4.02684,4.15635,2.34203,-3.73544,3.94842,2.24765
-4.08832,4.17806,2.3471,-3.7955,3.97044,2.25495
-4.14981,4.19976,2.35217,-3.86471,3.99733,2.2638
-4.21129,4.22147,2.35725,-3.93338,4.02534,2.27251
-4.27278,4.24317,2.36232,-3.98631,4.04392,2.27853
-4.33426,4.26488,2.36739,-4.03956,4.06246,2.28417
-4.39575,4.28658,2.37247,-4.12353,4.09287,2.29278
-4.45723,4.30829,2.37754,-4.17548,4.11229,2.29831
-4.51872,4.32999,2.38261,-4.25755,4.14361,2.30773
-4.5802,4.3517,2.38769,-4.29823,4.15941,2.31308
-4.64169,4.37341,2.39276,-4.37896,4.19132,2.32468
-4.70317,4.39511,2.39783,-4.43879,4.21543,2.33452
-4.76466,4.41682,2.4029,-4.49988,4.23808,2.34553
-4.82614,4.43852,2.40798,-4.5709,4.26369,2.35872
-4.88763,4.46023,2.41305,-4.63102,4.28582,2.36923
-4.94911,4.48193,2.41812,-4.68047,4.30422,2.37711
-5.0106,4.50364,2.4232,-4.75843,4.33358,2.38834
-5.07208,4.52534,2.42827,-4.79714,4.34829,2.39331
-5.13357,4.54705,2.43334,-4.87398,4.37772,2.4025
-5.19505,4.56876,2.43842,-4.92181,4.39616,2.40825
-5.25654,4.59046,2.44349,-4.99077,4.41947,2.41726
-5.31802,4.61217,2.44856,-5.0508,4.43811,2.42556
-5.37951,4.63387,2.45363,-5.12098,4.46063,2.43526
-5.44099,4.65558,2.45871,-5.17101,4.47709,2.44164
-5.50248,4.67728,2.46378,-5.24098,4.50068,2.44933
-5.56396,4.69899,2.46885,-5.30097,4.52148,2.45507
-5.62545,4.72069,2.47393,-5.37089,4.54649,2.46121
-5.68693,4.7424,2.479,-5.42072,4.5648,2.46522
-5.74842,4.76411,2.48407,-5.49104,4.58875,2.47008
-5.8099,4.78581,2.48914,-5.54153,4.60523,2.4734
-5.87139,4.80752,2.49422,-5.62224,4.63257,2.47849
-5.93287,4.82922,2.49929,-5.67269,4.65021,2.48183
-5.99436,4.85093,2.50436,-5.7434,4.67553,2.48658
-6.05584,4.87263,2.50944,-5.80402,4.69776,2.49117
-6.11733,4.89434,2.51451,-5.87491,4.72436,2.49678
-6.17881,4.91604,2.51958,-5.92542,4.74363,2.50055
-6.2403,4.93775,2.52466,-5.99601,4.76786,2.50494
-6.30178,4.95946,2.52973,-6.0564,4.7873,2.50826
-6.36327,4.98116,2.5348,-6.1266,4.81063,2.51217
-6.42475,5.00287,2.53987,-6.17649,4.82762,2.51501
-6.48624,5.02457,2.54495,-6.24605,4.85189,2.51859
-6.54772,5.04628,2.55002,-6.30552,4.87317,2.52156
-6.60921,5.06798,2.55509,-6.37475,4.89856,2.52518
-6.67069,5.08969,2.56017,-6.42407,4.91702,2.52772
-6.73218,5.11139,2.56524,-6.50338,4.94434,2.53148
-6.79366,5.1331,2.57031,-6.55315,4.96098,2.53398
-6.85515,5.1548,2.57539,-6.62266,4.98494,2.53808
-6.91663,5.17651,2.58046,-6.67224,5.00248,2.54174
-6.97812,5.19822,2.58553,-6.74182,5.02761,2.54735
-7.0396,5.21992,2.5906,-6.80153,5.0496,2.55268
-7.10109,5.24163,2.59568,-6.87148,5.07578,2.55887
-7.16257,5.26333,2.60075,-6.92154,5.09477,2.56321
-7.22406,5.28504,2.60582,-6.99257,5.11847,2.56879
-7.28554,5.30674,2.6109,-7.05396,5.1374,2.57314
-7.34703,5.32845,2.61597,-7.1153,5.15695,2.57746
-7.40851,5.35015,2.62104,-7.17639,5.17694,2.58163
-7.47,5.37186,2.62612,-7.24753,5.20093,2.58596
-7.53148,5.39357,2.63119,-7.29819,5.21849,2.5885
-7.59297,5.41527,2.63626,-7.37879,5.24727,2.5919
-7.65445,5.43698,2.64133,-7.42899,5.26574,2.59414
-7.71594,5.45868,2.64641,-7.50028,5.28963,2.59787
-7.77742,5.48039,2.65148,-7.56169,5.30924,2.60193
-7.83891,5.50209,2.65655,-7.62276,5.32957,2.6067
-7.90039,5.5238,2.66163,-7.68325,5.35037,2.61172
-7.96188,5.5455,2.6667,-7.74337,5.37168,2.61651
-8.02336,5.56721,2.67177,-7.81311,5.3971,2.62139
-8.08485,5.58892,2.67684,-7.87254,5.41933,2.62485
-8.14633,5.61062,2.68192,-7.93164,5.44192,2.62793
-8.20782,5.63233,2.68699,-8.01007,5.46986,2.63184
-8.22468,5.66015,2.6879,-8.04916,5.48336,2.63359
-8.17135,5.69759,2.68228,-8.11703,5.50727,2.63705
-8.11803,5.73504,2.67665,-8.17411,5.52817,2.6402
-8.0647,5.77248,2.67102,-8.22965,5.5498,2.64272
-8.01138,5.80993,2.66539,-8.29152,5.57622,2.64343
-7.95805,5.84737,2.65977,-8.34904,5.60473,2.6416
-7.90473,5.88482,2.65414,-8.38687,5.62674,2.63875
-7.8514,5.92226,2.64851,-8.43039,5.65288,2.63348
-7.79808,5.95971,2.64288,-8.47736,5.68424,2.62495
-7.74476,5.99715,2.63725,-8.51214,5.71421,2.61556
-7.69143,6.03459,2.63163,-8.54201,5.74664,2.60481
-7.63811,6.07204,2.626,-8.56718,5.78136,2.59291
-7.58478,6.10948,2.62037,-8.58782,5.81813,2.58013
-7.53146,6.14693,2.61474,-8.60636,5.8631,2.56421
-7.47813,6.18437,2.60911,-8.61766,5.90305,2.55017
-7.42481,6.22182,2.60349,-8.62932,5.9411,2.53597
-7.37148,6.25926,2.59786,-8.64056,5.97727,2.52203
-7.31816,6.29671,2.59223,-8.64739,6.02032,2.50593
-7.26483,6.33415,2.5866,-8.64812,6.05757,2.49227
-7.21151,6.37159,2.58098,-8.64318,6.10114,2.47687
-7.15818,6.40904,2.57535,-8.63413,6.13861,2.46445
-7.10486,6.44648,2.56972,-8.62073,6.17617,2.45253
-7.05154,6.48393,2.56409,-8.6031,6.21374,2.44102
-6.99821,6.52137,2.55846,-8.5849,6.25067,2.42998
-6.94489,6.55882,2.55284,-8.56202,6.29314,2.41786
-6.89156,6.59626,2.54721,-8.53754,6.32986,2.40792
-6.83824,6.63371,2.54158,-8.50877,6.36687,2.39874
-6.78491,6.67115,2.53595,-8.47589,6.40416,2.39033
-6.73159,6.70859,2.53032,-8.43262,6.44815,2.38159
-6.67826,6.74604,2.5247,-8.39144,6.48615,2.3745
-6.62494,6.78348,2.51907,-8.34657,6.5243,2.36769
-6.57161,6.82093,2.51344,-8.30017,6.56246,2.3614
-6.51829,6.85837,2.50781,-8.24358,6.60701,2.35449
-6.46496,6.89582,2.50219,-8.19112,6.6452,2.34904
-6.41164,6.93326,2.49656,-8.13513,6.68328,2.34379
-6.35832,6.9707,2.49093,-8.06553,6.72754,2.33797
-6.30499,7.00815,2.4853,-8.00235,6.76538,2.33304
-6.25167,7.04559,2.47967,-7.93601,6.80294,2.3281
-6.19834,7.08304,2.47405,-7.86661,6.84025,2.32323
-6.14502,7.12048,2.46842,-7.79495,6.87788,2.31826
-6.09169,7.15793,2.46279,-7.70849,6.922,2.31271
-6.03837,7.19537,2.45716,-7.6313,6.95956,2.3083
-5.98504,7.23282,2.45153,-7.55159,6.99697,2.30414
-5.93172,7.27026,2.44591,-7.46972,7.03427,2.30045
-5.87839,7.3077,2.44028,-7.3861,7.07147,2.29706
-5.82507,7.34515,2.43465,-7.28724,7.11466,2.29355
-5.77175,7.38259,2.42902,-7.20193,7.15151,2.29087
-5.71842,7.42004,2.4234,-7.11371,7.18853,2.2885
-5.6651,7.45748,2.41777,-7.02352,7.22567,2.28649
-5.61177,7.49493,2.41214,-6.92009,7.26883,2.28466
-5.55845,7.53237,2.40651,-6.83345,7.30561,2.28292
-5.50512,7.56982,2.40088,-6.7353,7.34824,2.28079
-5.4518,7.60726,2.39526,-6.65389,7.3846,2.27891
-5.39847,7.6447,2.38963,-6.57536,7.42071,2.27728
-5.34515,7.68215,2.384,-6.49985,7.45652,2.27582
-5.29182,7.71959,2.37837,-6.41973,7.49185,2.27391
-5.2385,7.75704,2.37274,-6.32234,7.53257,2.27111
-5.18517,7.79448,2.36712,-6.24239,7.56744,2.26848
-5.13185,7.83193,2.36149,-6.16524,7.60239,2.26622
-5.07853,7.86937,2.35586,-6.07823,7.64338,2.26409
-5.0252,7.90682,2.35023,-6.0179,7.67287,2.26239
-4.97188,7.94426,2.3446,-5.93619,7.71433,2.25945
-4.91855,7.9817,2.33898,-5.86854,7.75017,2.25733
-4.86523,8.01915,2.33335,-5.79817,7.78579,2.25595
-4.8119,8.05659,2.32772,-5.7257,7.82111,2.25472
-4.75858,8.09404,2.32209,-5.64375,7.86275,2.25296
